date,startup,vertical,subvertical,city,investors,round,amount,year,month,month_year,amount_category,investor_count
2015-06-10,Burger Singh,QSR & Online delivery portal,nan,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed,4.125,2015,6,2015-06,1-10Cr,4
2015-06-10,Welcome Cure,Online Homeopathy Clinic,nan,Mumbai,Unnamed Media house and HNIs,Private Equity,49.5,2015,6,2015-06,10-50Cr,0
2015-07-10,SchoolGuru,E-Learning Service Provider,nan,Mumbai,High Networth Individuals from India & USA,Private Equity,24.75,2015,7,2015-07,10-50Cr,0
2015-07-10,Naturally Yours,Organic Food etailer,nan,Mumbai,Sanjay Mehta,Seed,0.0,2015,7,2015-07,,0
2015-07-10,GoJavas,Delivery & Logistics Service provider,nan,Gurgaon,Snapdeal,Private Equity,165.0,2015,7,2015-07,100-500Cr,0
2015-07-10,Scandid,Product Discovery & comparison App,nan,Pune,Micromax Informatics,Private Equity,0.0,2015,7,2015-07,,0
2015-07-10,StalkBuyLove,Online Apparels Fashion brand,nan,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,0.0,2015,7,2015-07,,2
2015-08-10,ZuperMeal,Home Cooked Food marketplace & Delivery,nan,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,16.5,2015,8,2015-08,10-50Cr,2
2015-08-10,Cube26,Gesture based Mobile Development,nan,New Delhi,"Tiger Global Management, Flipkart",Private Equity,63.525,2015,8,2015-08,50-100Cr,2
2015-08-10,Mobikon,Hotel Mobile CRM Software platform,nan,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,0.0,2015,8,2015-08,,2
2015-08-10,Grabhouse,Rental Accommodation Search platform,nan,Bangalore,Sequoia and Kalaari Capital.,Private Equity,82.5,2015,8,2015-08,50-100Cr,0
2015-08-10,Quifers,Logistics Tech Platform,nan,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed,2.5575,2015,8,2015-08,1-10Cr,4
2015-09-10,Stockroom.io,Developer Portfolio Showcase platform,nan,Hyderabad,Undisclosed Investors,Seed,0.5775,2015,9,2015-09,<1Cr,0
2015-09-10,Curofy,Doctors Network Mobile App,nan,New Delhi,RoundGlass Partners,Private Equity,0.0,2015,9,2015-09,,0
2015-09-10,Cloud Lending,End-to-End Lending platform,nan,Bangalore / San Mateo,SF Capital Group,Private Equity,66.0,2015,9,2015-09,50-100Cr,0
2015-09-10,Inayo,on-demand healthcare marketplace,nan,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed,2.475,2015,9,2015-09,1-10Cr,3
2015-09-10,WoNoBo,360-degree view creating platform,nan,Bangalore,Quikr,Private Equity,0.0,2015,9,2015-09,,0
2015-09-10,Kulzy,Advertising & Marketing Community Networking platform,nan,New Delhi,"Seedfund, Bedrock Ventures",Seed,8.25,2015,9,2015-09,1-10Cr,2
2015-09-10,Zeppery,Food Ordering & Delivery App,nan,New Delhi,Suyash Sharma,Seed,0.63525,2015,9,2015-09,<1Cr,0
2015-12-10,Zify,Ride Sharing platform,nan,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed,1.5675,2015,12,2015-12,1-10Cr,0
2015-12-10,Faircent,Online P2P lending marketplace,nan,Gurgaon,Aarin Capital Partners,Private Equity,0.0,2015,12,2015-12,,0
2015-12-10,Bizongo,B2B marketplace for industrial goods,nan,Mumbai,Accel Partners,Seed,0.0,2015,12,2015-12,,0
2015-12-10,Gridle,Cloud Based Collaboration platform,nan,Ahmedabad,LetsVenture,Seed,0.825,2015,12,2015-12,<1Cr,0
2015-12-10,Tripoto,global community for travellers,nan,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,0.0,2015,12,2015-12,,4
2015-12-10,Mubble,Prepaid Bill manager App,nan,Bangalore,Accel Partners,Private Equity,0.0,2015,12,2015-12,,0
2015-10-13,Voodoo,Mobile Only Shopping Assistant,nan,New Delhi,SAIF Partners,Seed,8.25,2015,10,2015-10,1-10Cr,0
2015-10-13,Lookup,Mobile Messaging Assistant App,nan,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,20.625,2015,10,2015-10,10-50Cr,5
2015-10-14,AskMyGift,Personalized Wish List creator app,nan,Noida,Turning Ideas,Seed,0.4125,2015,10,2015-10,<1Cr,0
2015-10-14,Gaana.com,Music Streaming mobile app,nan,Mumbai,Micromax Informatics Ltd,Private Equity,0.0,2015,10,2015-10,,0
2015-10-14,Zappfresh,Raw Meat & Ready to eat food etailer,nan,Gurgaon,Undisclosed Investors,Seed,0.63525,2015,10,2015-10,<1Cr,0
2015-10-14,GymTrekker,Gym Discovery platform,nan,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed,0.0,2015,10,2015-10,,3
2015-10-15,Bounty App,Online Purchase rewards app,nan,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed,0.0,2015,10,2015-10,,2
2015-10-16,Homers.in,Home rental platform,nan,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed,0.0,2015,10,2015-10,,3
2015-10-16,mShipper,Crowdsourced Delivery platform,nan,New Delhi,Vijai Laxmi,Seed,0.0,2015,10,2015-10,,0
2015-10-16,BolRealty,Real Estate Insights platform,nan,New Delhi,Manpreet Singh,Seed,0.0,2015,10,2015-10,,0
2015-10-17,S-Cube Futuretech,Structural & Civil Engg Service Automation,nan,Mumbai,Parampara Capital,Private Equity,8.25,2015,10,2015-10,1-10Cr,0
2015-10-19,LetsVenture,Startup Funding Marketplace,nan,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,0.0,2015,10,2015-10,,2
2015-10-19,Citrus Payment,Payments Solution platform,nan,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,206.25,2015,10,2015-10,100-500Cr,4
2015-10-19,Holidify,Travel Destination Discovery platform,nan,New Delhi,Aarti Group,Seed,0.825,2015,10,2015-10,<1Cr,0
2015-10-20,PrimaSeller,Order Fulfillment SAAS platform,nan,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed,0.0,2015,10,2015-10,,2
2015-10-20,Opinio,Last Mile Delivery Service,nan,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,57.75,2015,10,2015-10,50-100Cr,2
2015-10-20,Attune Technologies,Healthcare IT Solutions & services,nan,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,82.5,2015,10,2015-10,50-100Cr,2
2015-10-20,iChef.in,Gourmet Meals Delivery,nan,Mumbai,Springboard Ventures,Private Equity,0.0,2015,10,2015-10,,0
2015-10-21,Jiyo Natural,Healthy Meals Food delivery platform,nan,Bangalore,Indian Angel Network,Seed,0.0,2015,10,2015-10,,0
2015-10-21,AgentDesks,Real Estate Mobile CRM,nan,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed,24.3375,2015,10,2015-10,10-50Cr,3
2015-10-21,White Owl Brewery,Micro-Brewery,nan,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,12.6225,2015,10,2015-10,10-50Cr,2
2015-10-21,MealHopper,Home Made Food Marketplace,nan,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed,0.825,2015,10,2015-10,<1Cr,3
2015-10-21,Zenify.in,residential rental management platform,nan,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed,5.28,2015,10,2015-10,1-10Cr,2
2015-10-21,Stockal,Personalized Stock Intelligence Platform,nan,Bangalore,"R Natarajan, Mohan Alexander",Seed,0.0,2015,10,2015-10,,2
2015-10-23,Medd,Personal Diagnostic Mobile App,nan,Mumbai,Group of Angel investors,Seed,1.2375,2015,10,2015-10,1-10Cr,0
2015-10-23,Leaping Caravan,Online food ordering & Delivery service,nan,Gurgaon,Group of Angel investors,Seed,1.2375,2015,10,2015-10,1-10Cr,0
2015-10-23,Frsh,Online food ordering & Delivery service,nan,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,8.25,2015,10,2015-10,1-10Cr,3
2015-10-23,Qik Stay,Hotel Aggregator & booking platform,nan,New Delhi,ID Enablers Pvt Ltd,Seed,2.0625,2015,10,2015-10,1-10Cr,0
2015-10-26,Parcelled,Online Logistics Platform,nan,Bangalore,Delhivery,Private Equity,41.25,2015,10,2015-10,10-50Cr,0
2015-10-26,AlmaMapper,Online Student & Campus Social Networking platform,nan,Ahmedabad,Oswal Techno Ventures LLP,Seed,3.3,2015,10,2015-10,1-10Cr,0
2015-10-26,Flexing It,Professionals & Project Search Marketplace,nan,New Delhi,undisclosed private investors,Seed,4.125,2015,10,2015-10,1-10Cr,0
2015-10-26,Netmeds.com,Online Pharmacy,nan,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,412.5,2015,10,2015-10,100-500Cr,2
2015-10-26,Razorpay,Online Payment Gateway,nan,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,74.25,2015,10,2015-10,50-100Cr,2
2015-10-27,Jombay,Psychometric Test Online Software,nan,Pune,Ventureworks India,Private Equity,0.0,2015,10,2015-10,,0
2015-10-27,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,nan,Mumbai,Unnamed investor,Seed,0.63525,2015,10,2015-10,<1Cr,0
2015-10-27,Care24,Professional Health Services Platform,nan,Mumbai,India Quotient,Seed,2.8875,2015,10,2015-10,1-10Cr,0
2015-10-27,Roadrunnr,Hyperlocal Logistics Service,nan,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,82.5,2015,10,2015-10,50-100Cr,2
2015-10-27,Simpli5d,Online user engagement platform,nan,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,0.0,2015,10,2015-10,,2
2015-10-28,ORIGA Leasing,Asset Financing platform,nan,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed,9.075,2015,10,2015-10,1-10Cr,2
2015-10-28,Smartivity.in,Virtual Reality activity based learning platform,nan,New Delhi,S Chand and Co Pvt Ltd,Seed,1.65,2015,10,2015-10,1-10Cr,0
2015-10-28,UrDoorStep,Online Grocery Store,nan,Bangalore,Jupiter Capital,Private Equity,0.0,2015,10,2015-10,,0
2015-10-29,Tavaga,Investment management platform,nan,Mumbai,Tracxn Syndicate,Seed,0.0,2015,10,2015-10,,0
2015-10-29,Moglix,Industrial Toons Marketplace,nan,Noida,"Accel Partner, Jungle Ventures",Private Equity,0.0,2015,10,2015-10,,2
2015-10-29,ZopHop,Public Commute helper App,nan,Mumbai,"Amit Singhal, PK Gulati & others",Seed,3.7125,2015,10,2015-10,1-10Cr,2
2015-10-30,Niki.ai,Artificial Intelligence Ecommerce Chatbot,nan,Bangalore,Unilazer Ventures,Seed,0.0,2015,10,2015-10,,0
2015-10-30,Instavans,Truck Aggregator & Logistics service,nan,Bangalore,Suresh Vaswani,Seed,0.0,2015,10,2015-10,,0
2015-10-30,LiftO,Ridesharing Mobile app,nan,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed,1.0725,2015,10,2015-10,1-10Cr,2
2015-10-30,TinyOwl,Food Discovery & Delivery Mobile app,nan,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,61.875,2015,10,2015-10,50-100Cr,2
2015-10-30,Toppr.com,Competitive exam learning platform,nan,Mumbai,InnoVen Capital,Private Equity,16.5,2015,10,2015-10,10-50Cr,0
2015-10-30,Kleeto,Document Digitization platform,nan,Gurgaon,GREX,Seed,1.8975,2015,10,2015-10,1-10Cr,0
2015-10-30,BeaconsTalk,proximity marketing & Mobile Advertising platform,nan,Mumbai,Puneet Bhatia & others,Seed,0.66,2015,10,2015-10,<1Cr,0
